code,code_name,close,mktcap
sh.601598,中国外运,6.16,315.36
sh.601600,中国铝业,10.84,1427.83
sh.601601,中国太保,33.0,2320.22
sh.601606,长城军工,37.03,271.55
sh.601607,上海医药,16.5,464.58
sh.601609,金田股份,13.24,233.77
sh.601611,中国核建,12.37,386.92
sh.601615,明阳智能,16.69,368.81
sh.601628,中国人寿,34.05,7254.2
sh.601633,长城汽车,17.83,1148.9
sh.601636,旗滨集团,6.83,193.31
sh.601665,齐鲁银行,6.15,380.21
sh.601666,平煤股份,7.22,184.16
sh.601677,明泰铝业,18.0,217.78
sh.601688,华泰证券,18.66,1361.85
sh.601689,拓普集团,72.61,1231.79
sh.601696,中银证券,11.98,335.47
sh.601698,中国卫通,33.11,1461.37
sh.601699,潞安环能,14.35,451.31
sh.601702,华峰铝业,18.39,183.8
sh.601717,中创智领,18.2,283.67
sh.601727,上海电气,8.68,1128.05
sh.601728,中国电信,6.35,5164.09
sh.601777,千里科技,12.34,543.54
sh.601778,晶科科技,6.11,246.69
sh.601788,光大证券,14.72,584.55
sh.601799,星宇股份,141.26,385.14
sh.601800,中国交建,6.4,774.77
sh.601808,中海油服,13.68,418.36
sh.601811,新华文轩,13.02,104.81
sh.601825,沪农商行,8.63,819.71
sh.601827,三峰环境,7.83,133.6
sh.601838,成都银行,18.75,789.68
sh.601857,中国石油,11.29,18591.86
sh.601858,中国科传,26.06,220.3
sh.601865,福莱特,12.11,240.14
sh.601872,招商轮船,17.8,1418.54
sh.601877,正泰电器,30.83,696.16
sh.601878,浙商证券,9.55,439.78
sh.601881,中国银河,12.41,906.35
sh.601882,海天精工,23.42,123.82
sh.601886,江河集团,9.09,104.29
sh.601888,中国中免,57.1,1141.68
sh.601890,亚星锚链,9.68,95.97
sh.601898,中煤能源,16.28,1553.6
sh.601899,紫金矿业,29.99,6388.47
sh.601900,南方传媒,12.15,108.93
sh.601901,方正证券,7.01,577.85
sh.601918,新集能源,8.65,232.72
sh.601919,中远海控,14.67,1790.93
sh.601921,浙版传媒,7.33,165.94
sh.601928,凤凰传媒,9.06,233.31
sh.601939,建设银行,10.05,947.38
sh.601952,苏垦农发,8.61,123.44
sh.601958,金钼股份,21.12,683.91
sh.601963,重庆银行,11.47,223.37
sh.601965,中国汽研,16.54,167.92
sh.601966,玲珑轮胎,12.26,182.8
sh.601969,海南矿业,10.34,215.77
sh.601985,中国核电,8.74,1711.38
sh.601990,南京证券,7.05,262.25
sh.601991,大唐发电,7.05,952.63
sh.601995,中金公司,34.14,996.83
sh.601997,贵阳银行,6.0,219.47
sh.601998,中信银行,7.88,3244.87
sh.603000,人民网,18.21,209.66
sh.603002,宏昌电子,15.12,176.83
sh.603005,晶方科技,36.08,226.09
sh.603007,顺景科技,6.9,55.92
sh.603009,北特科技,55.83,177.76
sh.603010,万盛股份,13.29,81.32
sh.603011,合锻智能,19.3,101.4
sh.603012,创力集团,9.44,59.88
sh.603013,亚普股份,21.32,107.8
sh.603015,弘讯科技,12.74,51.96
sh.603016,新宏泰,48.0,73.79
sh.603018,华设集团,7.3,51.58
sh.603019,中科曙光,93.25,1424.46
sh.603025,大豪科技,15.85,182.08
sh.603026,石大胜华,98.0,231.06
sh.603027,千禾味业,7.97,102.65
sh.603031,安孚科技,51.17,169.24
sh.603032,德新科技,22.96,53.37
sh.603033,三维股份,10.78,114.69
sh.603039,泛微网络,38.5,122.87
sh.603040,新坐标,91.0,115.55
sh.603043,广州酒家,14.14,81.08
sh.603045,福达合金,63.83,92.53
sh.603050,科林电气,23.0,96.2
sh.603052,可川科技,94.18,198.59
sh.603053,成都燃气,9.72,88.55
sh.603055,台华新材,8.87,76.59
sh.603057,紫燕食品,27.31,114.27
sh.603060,国检集团,6.93,55.76
sh.603063,禾望电气,56.85,270.83
sh.603067,振华股份,42.56,313.27
sh.603068,博通集成,36.77,57.49
sh.603069,海汽集团,18.45,56.62
sh.603070,万控智造,16.56,66.09
sh.603071,物产环能,13.08,76.83
sh.603078,江化微,34.94,128.51
sh.603081,大丰实业,11.2,50.42
sh.603083,剑桥科技,179.19,521.81
sh.603085,天成自控,14.32,55.87
sh.603087,甘李药业,54.61,308.47
sh.603088,宁波精达,11.88,53.51
sh.603090,宏盛股份,76.24,68.35
sh.603093,南华期货,22.04,143.25
sh.603095,越剑智能,22.08,58.4
sh.603098,森特股份,12.63,70.77
sh.603099,长白山,38.38,102.77
sh.603100,川仪股份,20.09,105.67
sh.603103,横店影视,19.88,128.21
sh.603108,润达医疗,14.51,86.97
sh.603111,康尼机电,6.55,56.71
sh.603112,华翔股份,22.29,117.75
sh.603115,海星股份,105.74,212.63
sh.603118,共进股份,14.02,121.64
sh.603119,浙江荣泰,80.18,199.8
sh.603121,华培动力,18.71,72.01
sh.603122,合富中国,13.44,56.5
sh.603123,翠微股份,10.72,72.75
sh.603124,江南新材,117.85,94.04
sh.603125,常青科技,25.97,108.25
sh.603126,中材节能,8.01,51.24
sh.603127,昭衍新药,42.77,251.88
sh.603129,春风动力,243.39,383.33
sh.603130,云中马,46.21,65.52
sh.603131,上海沪工,21.6,76.94
sh.603132,金徽股份,18.04,183.36
sh.603135,中重科技,11.36,75.8
sh.603138,海量数据,17.6,54.43
sh.603150,万朗磁塑,65.51,59.85
sh.603153,上海建科,15.06,62.07
