code,industry
sh.601211,资本市场服务
sh.601212,有色金属冶炼和压延加工业
sh.601216,化学原料和化学制品制造业
sh.601218,金属制品业
sh.601222,电气机械和器材制造业
sh.601225,煤炭开采和洗选业
sh.601226,专业技术服务业
sh.601228,水上运输业
sh.601229,货币金融服务
sh.601231,计算机、通信和其他电子设备制造业
sh.601233,化学纤维制造业
sh.601236,资本市场服务
sh.601238,汽车制造业
sh.601279,汽车制造业
sh.601288,货币金融服务
sh.601298,水上运输业
sh.601311,电气机械和器材制造业
sh.601318,保险业
sh.601319,保险业
sh.601326,水上运输业
sh.601328,货币金融服务
sh.601330,生态保护和环境治理业
sh.601333,铁路运输业
sh.601336,保险业
sh.601339,纺织业
sh.601360,互联网和相关服务
sh.601366,零售业
sh.601368,水的生产和供应业
sh.601369,通用设备制造业
sh.601375,资本市场服务
sh.601377,资本市场服务
sh.601388,废弃资源综合利用业
sh.601390,土木工程建筑业
sh.601398,货币金融服务
sh.601399,专用设备制造业
sh.601456,资本市场服务
sh.601500,橡胶和塑料制品业
sh.601512,房地产业
sh.601515,医药制造业
sh.601518,道路运输业
sh.601519,其他金融业
sh.601528,货币金融服务
sh.601555,资本市场服务
sh.601566,纺织服装、服饰业
sh.601567,仪器仪表制造业
sh.601568,化学原料和化学制品制造业
sh.601577,货币金融服务
sh.601579,酒、饮料和精制茶制造业
sh.601588,房地产业
sh.601595,广播、电视、电影和录音制作业
sh.601598,多式联运和运输代理业
sh.601599,纺织业
sh.601600,有色金属冶炼和压延加工业
sh.601601,保险业
sh.601606,金属制品业
sh.601607,零售业
sh.601608,专用设备制造业
sh.601609,有色金属冶炼和压延加工业
sh.601611,土木工程建筑业
sh.601615,通用设备制造业
sh.601616,电气机械和器材制造业
sh.601618,土木工程建筑业
sh.601619,电力、热力生产和供应业
sh.601628,保险业
sh.601633,汽车制造业
sh.601636,非金属矿物制品业
sh.601658,货币金融服务
sh.601665,货币金融服务
sh.601666,煤炭开采和洗选业
sh.601668,土木工程建筑业
sh.601669,土木工程建筑业
sh.601677,有色金属冶炼和压延加工业
sh.601678,化学原料和化学制品制造业
sh.601686,金属制品业
